,SocGen CTA Trend Index (Excess),"Top Down (Small, Net)","Top Down (Med, Net)",Bottom Up (Net),Trend Replication (Net)
3/19/24,2.539061021,1.178459401,0.828560378,11.34624605,233.7648793
3/20/24,2.54108244,1.180017165,0.828485002,11.38511388,233.9111641
3/21/24,2.564296847,1.184979835,0.832031834,11.53260342,236.0032131
3/22/24,2.558024742,1.181814714,0.829549764,11.44499584,234.420472
3/25/24,2.566212401,1.183291986,0.830205276,11.46000192,235.1401333
3/26/24,2.578569384,1.181689541,0.829599509,11.46748624,235.0057117
3/27/24,2.593780052,1.184791348,0.830801413,11.55365188,236.3106731
3/28/24,2.59493795,1.18945051,0.832340941,11.62423077,237.8632132
4/1/24,2.60547093,1.192858621,0.833387523,11.67367946,239.014856
4/2/24,2.614561271,1.191554115,0.832337186,11.55398632,237.9860673
4/3/24,2.61041791,1.193166475,0.834936921,11.69225784,239.7999187
4/4/24,2.59990959,1.184578599,0.830500311,11.52112865,237.901175
4/5/24,2.61165104,1.195817927,0.833892077,11.62743263,240.5719197
4/8/24,2.623228595,1.197729839,0.834776914,11.72597679,241.8573123
4/9/24,2.610609435,1.195519414,0.830444205,11.62148206,240.2550125
4/10/24,2.648637275,1.203036103,0.837168189,11.7469819,242.7088596
4/11/24,2.650716492,1.205711864,0.838272814,11.7994281,244.4768048
4/12/24,2.628320244,1.199374951,0.833722285,11.65919668,242.3897407
4/15/24,2.652375731,1.201577149,0.836477556,11.74479401,244.7958093
4/16/24,2.634877065,1.203772711,0.834216008,11.60166026,243.7269032
4/17/24,2.624442067,1.19597415,0.828263303,11.43962836,239.9320932
4/18/24,2.634073966,1.199273323,0.830531982,11.52587402,241.7474779
4/19/24,2.622297826,1.196308897,0.82779998,11.46916834,241.2880846
4/22/24,2.605707215,1.199250059,0.831003911,11.40688253,239.2676879
4/23/24,2.600392648,1.200681069,0.833374758,11.50123506,240.0788435
4/24/24,2.620818379,1.204029168,0.836106542,11.54958203,241.4792401
4/25/24,2.621893927,1.206874971,0.836275652,11.54160836,241.9604119
4/26/24,2.644098102,1.212244101,0.841477532,11.84922479,246.1277129
4/29/24,2.617880353,1.204796878,0.836823152,11.72073676,243.4022663
4/30/24,2.631741603,1.210403189,0.839451001,11.64240592,243.0463376
5/1/24,2.601635588,1.201515643,0.833444235,11.45056389,240.1908812
5/2/24,2.53891161,1.191631792,0.827779701,11.23939553,236.1274385
5/3/24,2.505403934,1.187771658,0.823594807,11.26980015,235.8112823
5/6/24,2.510863406,1.190872249,0.82593513,11.42332775,238.0543688
5/7/24,2.522228067,1.192388008,0.827527377,11.5203909,239.1340663
5/8/24,2.535342165,1.196048783,0.829297211,11.54666408,239.7184809
5/9/24,2.541507991,1.19382842,0.825113503,11.60089747,240.2475896
5/10/24,2.559979689,1.197682132,0.828205664,11.71180197,242.3941538
5/13/24,2.552432351,1.197595893,0.825727365,11.70913061,241.9933624
5/14/24,2.563595856,1.194192825,0.824405104,11.78193837,242.9538219
5/15/24,2.5527394,1.186325299,0.818284653,11.82190387,243.0995963
5/16/24,2.553356591,1.19122888,0.819747661,11.781329,242.8812992
5/17/24,2.584498005,1.197159596,0.823143679,11.95074272,245.7401802
5/20/24,2.597915209,1.200776215,0.825684568,12.07163559,247.8034144
5/21/24,2.599416555,1.198558498,0.82364332,12.0242902,246.8196417
5/22/24,2.585196353,1.198753209,0.820373048,11.80997853,243.7864007
5/23/24,2.577482965,1.197741057,0.822438558,11.6940841,241.881734
5/24/24,2.584897555,1.199104583,0.822179246,11.71056585,242.2077879
5/28/24,2.60446984,1.208704401,0.828815018,11.80718811,244.2329304
5/29/24,2.597998719,1.213528685,0.832326801,11.64208281,242.774164
5/30/24,2.568632954,1.204122978,0.825168035,11.53109845,240.3783315
5/31/24,2.557590752,1.199072112,0.820256559,11.50332897,239.5202166
6/3/24,2.539827077,1.18597077,0.809732879,11.46553794,238.2232896
6/4/24,2.488637723,1.172479164,0.800032896,11.24879938,234.4538511
6/5/24,2.502259592,1.178433813,0.802472203,11.43925339,237.4385144
6/6/24,2.50852772,1.180539215,0.806170926,11.50889849,238.3892737
6/7/24,2.504959865,1.186879402,0.810385367,11.42702426,237.4575461
6/10/24,2.511954224,1.193355035,0.815178101,11.46170408,238.2095142
6/11/24,2.490655416,1.188335665,0.809603554,11.35958316,236.7132058
6/12/24,2.489396107,1.185116487,0.808442204,11.47831697,238.1233557
6/13/24,2.46324816,1.175995173,0.800582735,11.29768329,235.0133061
6/14/24,2.440718403,1.17827194,0.799433902,11.24492775,234.4514984
6/17/24,2.455574563,1.186106358,0.8029833,11.31788239,236.0182321
6/18/24,2.45778971,1.185348393,0.803150436,11.36646338,236.6317721
6/20/24,2.48058519,1.192659263,0.811461241,11.44365065,238.1585549
6/21/24,2.467372924,1.18990096,0.807933899,11.37264092,237.1773959
6/24/24,2.46565349,1.195573152,0.811790669,11.39673241,237.5670453
6/25/24,2.471419904,1.190643844,0.807119393,11.3818585,237.2555973
6/26/24,2.477681301,1.196373151,0.811713636,11.42981282,238.5163592
6/27/24,2.468684507,1.200220911,0.810515946,11.42391404,238.5952184
6/28/24,2.475842234,1.205910783,0.814224817,11.40923619,238.5714455
7/1/24,2.486452815,1.224793265,0.823988796,11.51169471,241.3347919
7/2/24,2.48634385,1.220886803,0.822685731,11.52401851,241.9117216
7/3/24,2.498092555,1.221464952,0.826790647,11.66952201,243.9470468
7/5/24,2.492929533,1.219279141,0.827334523,11.73093113,244.9899879
7/8/24,2.501311888,1.214113156,0.825003649,11.69837778,244.091482
7/9/24,2.513026948,1.216679514,0.825404718,11.66086765,244.2289965
7/10/24,2.528436537,1.221487741,0.830609165,11.89797523,247.8964856
7/11/24,2.505674058,1.210155138,0.819730572,11.62420887,241.7872883
7/12/24,2.509324861,1.207709557,0.819655367,11.68216873,242.4350187
7/15/24,2.513557619,1.208993485,0.815652025,11.62970658,242.0529342
7/16/24,2.508862995,1.212922442,0.815912093,11.66138643,242.9178892
7/17/24,2.47886512,1.20566565,0.805977349,11.38738228,237.8836519
7/18/24,2.466700035,1.205948195,0.804514564,11.31279429,236.4665469
7/19/24,2.441457666,1.198996562,0.801001229,11.1383464,233.5333647
7/22/24,2.442615262,1.202014529,0.805132463,11.23806002,235.1449131
7/23/24,2.434050737,1.195438062,0.802153732,11.17337687,234.0254506
7/24/24,2.39833241,1.184761871,0.794234835,10.95747314,230.0549965
